filename,hover,caption
Blue Cups w: Floral Designs 1.jpeg,Blue Cups w: Floral Designs 2.png,Blue Cups w: Floral Designs
Blue Floral Teacup and Saucer 1.jpeg,Blue Floral Teacup and Saucer 2.jpeg,Blue Floral Teacup and Saucer
Blue Floral Teapot 1.jpeg,,Blue Floral Teapot
Blue Rounded Ridged Jar.jpeg,,Blue Rounded Ridged Jar
Chip and Dip.jpeg,,Chip and Dip
Cream Floral Teapot.JPG,,Cream Floral Teapot
Drippy Brown Mug.jpeg,,Drippy Brown Mug
Floral Berry Bowl.jpeg,,Floral Berry Bowl
Floral Bowls.jpeg,,Floral Bowls
Floral Creamer.jpeg,,Floral Creamer
Floral Cutout Bowl 1.jpeg,Floral Cutout Bowl 2.jpeg,Floral Cutout Bowl
Floral Flat Rim Bowls.jpeg,,Floral Flat Rim Bowls
Georgie's Teapot and Cup set.jpeg,,Georgie's Teapot and Cup set
Green Floral Teapot.jpeg,,Green Floral Teapot
Green Ridged Jar.jpeg,,Green Ridged Jar
Large Pot.jpeg,,Large Pot
Leaf Carving Tealight Holder.jpeg,,Leaf Carving Tealight Holder
Light Green Mug w: Floral Designs.jpeg,,Light Green Mug w: Floral Designs
Meal Bowls.jpg,,Meal Bowls
Medium Blue Pitcher w: Floral Designs.jpeg,,Medium Blue PItcher w: Floral Designs
Navy Oil Dispenser and Salt Jar.jpeg,,Navy Oil Dispenser and Salt Jar
Oil Dispenser w: Floral Designs.jpeg,,Oil Dispenser w: Floral Designs
Pears.png,,Pears
Red Floral Teapot.jpeg,,Red Floral Teapot
Red Pumpkin Mug.jpeg,,Red Pumpkin Mug
Small Blue Pitcher w: Floral Designs.jpeg,,Small Blue Pitcher w: Floral Designs
Small Light Blue Pitcher.jpeg,,Small Light Blue Pitcher
White Pumpkin Mug.jpg,,White Pumpkin Mug
Yellow Floral Teacups 1.jpg,Yellow Floral Teacups 2.jpeg,Yellow Floral Teacups
